w,h,c,n,k,f_w,f_h,pad_w,pad_h,stride_w,stride_h,precision,fwd_time(usec),fwd_algo,pad_kernels
16,16,64,4,1,2,2,1,1,1,1,float,25,FFT_TILING,0.0
16,16,64,4,2,2,2,1,1,1,1,float,31,IMPLICIT_GEMM,0.0
16,16,64,4,4,2,2,1,1,1,1,float,31,IMPLICIT_GEMM,0.0
16,16,64,4,8,2,2,1,1,1,1,float,31,IMPLICIT_GEMM,0.0
16,16,64,4,16,2,2,1,1,1,1,float,31,IMPLICIT_GEMM,0.0
16,16,64,4,32,2,2,1,1,1,1,float,14,IMPLICIT_GEMM,0.0
16,16,64,4,64,2,2,1,1,1,1,float,20,IMPLICIT_GEMM,0.0
16,16,64,8,1,2,2,1,1,1,1,float,19,IMPLICIT_GEMM,0.0
16,16,64,8,2,2,2,1,1,1,1,float,19,IMPLICIT_PRECOMP_GEMM,0.0
16,16,64,8,4,2,2,1,1,1,1,float,20,IMPLICIT_GEMM,0.0
16,16,64,8,8,2,2,1,1,1,1,float,20,IMPLICIT_PRECOMP_GEMM,0.0
16,16,64,8,16,2,2,1,1,1,1,float,20,IMPLICIT_GEMM,0.0
16,16,64,8,32,2,2,1,1,1,1,float,19,IMPLICIT_GEMM,0.0
16,16,64,8,64,2,2,1,1,1,1,float,27,IMPLICIT_GEMM,0.0
16,16,64,16,1,2,2,1,1,1,1,float,47,FFT,0.0
16,16,64,16,2,2,2,1,1,1,1,float,23,IMPLICIT_GEMM,0.0
16,16,64,16,4,2,2,1,1,1,1,float,23,IMPLICIT_GEMM,0.0
16,16,64,16,8,2,2,1,1,1,1,float,24,IMPLICIT_GEMM,0.0
16,16,64,16,16,2,2,1,1,1,1,float,24,IMPLICIT_GEMM,0.0
16,16,64,16,32,2,2,1,1,1,1,float,29,IMPLICIT_PRECOMP_GEMM,0.0
16,16,64,16,64,2,2,1,1,1,1,float,33,IMPLICIT_PRECOMP_GEMM,0.0
16,16,128,1,1,2,2,1,1,1,1,float,24,IMPLICIT_GEMM,0.0
16,16,128,1,2,2,2,1,1,1,1,float,24,IMPLICIT_PRECOMP_GEMM,0.0
16,16,128,1,4,2,2,1,1,1,1,float,19,FFT,0.0
